habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
3;2;0;60,00;60,00;3;Bueno;9 a 15 años;130.000;3.800.000;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Primavera Occidental;228000000,00
8;5;0;500,00;0,00;3;Excelente;9 a 15 años;No definida;3.400.000;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;Casa;Los Cerezos;1700000000,00
3;3;3;191,00;191,00;6;Excelente;más de 30 años;960.000;7.068.062,83;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000,00
2;2;1;67,00;57,00;4;No definida;16 a 30 años;650.000;4.626.865,67;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Apartamento;Bosque calderon;310000000,00
4;4;2;136,00;128,00;4;Excelente;1 a 8 años;410.000;6.250.000;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazurén;850000000,00
2;3;2;94,00;94,00;4;Excelente;menor a 1 año;530.000;5.851.063,83;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Cedritos;550000000,00
3;2;1;78,00;78,00;4;No definida;1 a 8 años;274.000;5.128.205,13;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;Apartamento;sabaneta;400000000,00
3;2;0;95,00;9353,00;4;Excelente;más de 30 años;85.000;4.052.631,58;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campín;385000000,00
3;1;0;49,41;49,00;3;Bueno;16 a 30 años;120.000;3.804.897,79;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;Apartamento;Ciudadela Colsubsidio;188000000,00
3;4;2;170,00;270,00;6;Excelente;16 a 30 años;1.158.000;7.588.235,29;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa bibiana;1290000000,00
3;2;1;86,00;80,00;3;Excelente;1 a 8 años;No definida;3.720.930,23;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000,00
12;5;0;375,00;320,00;3;Bueno;16 a 30 años;No definida;1.493.333,33;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000,00
6;4;3;218,00;0,00;4;Bueno;más de 30 años;No definida;3.027.522,94;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandía;660000000,00
3;2;0;60,00;60,00;3;Bueno;16 a 30 años;No definida;2.833.333,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Villa de los Alpes;170000000,00
3;4;2;175,00;175,00;4;No definida;16 a 30 años;No definida;4.285.714,29;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000,00
3;2;1;76,00;70,00;4;Bueno;9 a 15 años;241.000;4.736.842,11;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Casa;Versalles;360000000,00
3;2;1;78,50;0,00;4;Excelente;9 a 15 años;303.000;4.585.987,26;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;Apartamento;Hayuelos;360000000,00
3;2;1;65,00;0,00;3;No definida;No definida;289.000;5.384.615,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Eduardo frey;350000000,00
3;3;3;250,00;240,00;6;Remodelado;más de 30 años;1.700.000;7.000.000;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Apartamento;Los Rosales;1750000000,00
6;3;0;152,00;228,00;2;No definida;9 a 15 años;No definida;2.302.631,58;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;Casa;Salazar usme;350000000,00
